index,year,brand,superbowl_ads_dot_com_url,youtube_url,Genre,funny,show_product_quickly,patriotic,celebrity,danger,animals,use_sex,likes,dislikes,ratio,theme,theme_2,altruistic/consumerist
28,2019,NFL,https://superbowl-ads.com/2019-nfl-nfl100/,https://www.youtube.com/watch?v=sl8ooTIMk2w,Football,yes,yes,no,yes,no,no,no,761,17,0.98,together,,consumerist
29,2011,Coca-Cola,https://superbowl-ads.com/2011-coca-cola-border/,https://www.youtube.com/watch?v=Aw6-aXMBseo,Soft Drink,no,no,no,no,no,no,no,282,9,0.97,inspirational,together,consumerist
30,2019,Pepsi,https://superbowl-ads.com/2019-pepsi-bubly-buble/,https://www.youtube.com/watch?v=I-_Uh-vZXgo,Soft Drink,yes,yes,no,yes,no,no,no,1800,28,0.98,,,consumerist
31,2016,Hynudai,https://superbowl-ads.com/hyundai-2016-super-bowl-50-ad-chase/,https://www.youtube.com/watch?v=r_kXSO9Cph0,Automotive,yes,no,no,no,yes,yes,no,44,4,0.92,informative,,consumerist
32,2010,Bud Light,https://superbowl-ads.com/hd-exclusive-stranded-budweiser-2010-super-bowl-44-xliv-commercial-ad/,https://www.youtube.com/watch?v=zE7wyUmsM0k,Beer,yes,no,no,no,no,no,no,127,5,0.96,together,,consumerist
33,2000,E-Trade,https://superbowl-ads.com/2000-etrade-monkey-dance/,https://www.youtube.com/watch?v=Muyq2kMDFoA,Trading,yes,yes,no,no,no,yes,no,183,3,0.98,,,consumerist
34,2001,Bud Light,https://superbowl-ads.com/2001-bud-light-otto/,https://www.youtube.com/watch?v=XJEYIR-Cai4,Beer,yes,yes,no,no,no,yes,no,11,0,1,,,consumerist
35,2018,Doritos,https://superbowl-ads.com/2018-doritos-blaze-vs-mtn-dew-ice/,https://www.youtube.com/watch?v=rZh_CbcVe7M,Chips,yes,yes,no,yes,no,no,no,727,12,0.98,,,consumerist
36,2001,Budweiser,https://superbowl-ads.com/2001-budweiser-what-are-you-doing/,https://www.youtube.com/watch?v=gtmJEt0w1k4,Beer,yes,yes,no,no,no,no,no,242,5,0.98,,,consumerist
37,2018,Coca-Cola,https://superbowl-ads.com/life-is-short-have-a-diet-coke-because-i-can-diet-coke/,https://www.youtube.com/watch?v=be5DH6jQs38,Soft Drink,no,yes,no,yes,no,no,no,2,0,1,inspirational,,consumerist
38,2013,Hynudai,https://superbowl-ads.com/video-hyundai-2013-super-bowl-xlvii-ad-epic-playdate/,https://www.youtube.com/watch?v=YyKVvAZSAug,Automotive,no,no,no,no,no,yes,no,7,0,1,family,,consumerist
39,2004,Pepsi,https://superbowl-ads.com/2004-pepsi-bears-find-food/,https://www.youtube.com/watch?v=GzWUUZRli6s,Soft Drink,yes,no,no,no,no,yes,no,339,13,0.96,,,consumerist
40,2018,Kia,https://superbowl-ads.com/2018-kia-stinger-steven-tyler-big-game-ad-feel-something-again/,https://www.youtube.com/watch?v=9_dE6Z2HK8I,Automotive,no,no,no,yes,no,no,no,441,12,0.97,nostalgia,,consumerist
