index,year,brand,superbowl_ads_dot_com_url,youtube_url,funny,show_product_quickly,patriotic,celebrity,danger,animals,use_sex,likes,dislikes,ratio,theme,,,,
89,2012,Bud Light,https://superbowl-ads.com/2012-bud-light-rescue-dog/,https://www.youtube.com/watch?v=Qr3GJqccGi4,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,45,3,93.75%,RESCUE DOG SAVES YOU FROM THIRST WITH BUDLIGHT WHEN YOU CALL HIM,,,,
90,2008,Budweiser,https://superbowl-ads.com/2008-budweiser-dalmatian-trains-hank-for-team/,https://www.youtube.com/watch?v=odpagg0jV6I,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,363,8,97.84%,HORSE IS SAD HE DIDN'T GET SELECTED SO HE TRAINS TO BECOME BUD HORSE,,,,
91,2013,Hynudai,https://superbowl-ads.com/video-hyundai-2013-super-bowl-xlvii-ad-santafe-team/,https://www.youtube.com/watch?v=jvm68nEAU7o,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,1100,14,98.74%,HAVING A HYUNDAI MAKES YOUR CHILD BECOME TOUGHER,,,,
92,2010,Doritos,https://superbowl-ads.com/hd-exclusive-casket-funeral-doritos-2010-super-bowl-44-xliv-commercial-ad/,https://www.youtube.com/watch?v=2IhJl7mBtls,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,26,0,100.00%,"DORITOS IS SO GOOD, YOU'LL FAKE YOUR DEATH TO BE BURIED WITH DORITOS",,,,
93,2016,Bud Light,https://superbowl-ads.com/bud-light-2016-super-bowl-50-ad-the-bud-light-party/,https://www.youtube.com/watch?v=e0ez2t6oRWY,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,NaN,NaN,NaN,BUD LIGHT BRINGS ALL OF AMERICA TOGETHER,,,,
94,2019,Toyota,https://superbowl-ads.com/2019-toyota-toni-with-antoinette-harris/,https://www.youtube.com/watch?v=wegrVsP3gK4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,44,16,73.33%,RAV4 HYBRID IS UNDERESTIMATED LIKE TONI HARRIS,,,,
95,2009,Bud Light,https://superbowl-ads.com/2009-bud-light-meeting/,https://www.youtube.com/watch?v=L1fL0ZHX2t0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,196,8,96.08%,BUDLIGHT IS MORE IMPORTANT THAN BONUSES AND MARKETING,,,,
96,2019,Budweiser,https://superbowl-ads.com/2019-budweiser-wind-never-felt-better/,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NaN,NaN,NaN,BUDWEISER IS USING WIND POWER TO MAKE BEER,,,,
97,2003,Bud Light,https://superbowl-ads.com/2003-bud-light-yoga/,https://www.youtube.com/watch?v=bcV8WN1YIL4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,63,18,77.78%,"BUD LIGHT WON'T LET YOU DOWN, UNLIKE GOING TO YOGA TO STARE AT WOMEN",,,,
98,2019,Coca-Cola,https://superbowl-ads.com/2019-coca-cola-a-coke-is-a-coke/,https://www.youtube.com/watch?v=WTqL_giKNHQ,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,441,58,88.38%,COKE IS THE SAME FOR EVERYONE SO EVERYONE IS UNITED BY COKE,,,,
99,2012,Hynudai,https://superbowl-ads.com/2012-hyundai-genesis-heart/,https://www.youtube.com/watch?v=UxQKSCpOIOI,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,6,0,100.00%,"HYUNDAI GENESIS HAS ACCELERATION AND BRAKING SO GOOD, IT JUMPSTARTS A HEART",,,,
100,2011,Hynudai,https://superbowl-ads.com/2011-hyundai-super-bowl-commercial-hypnotized-video/,https://www.youtube.com/watch?v=5ofcQl6gWeE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NaN,NaN,NaN,HYUNDAI ELANTRA HYNOTISES YOU INTO BUYING IT,,,,
101,2015,Kia,https://superbowl-ads.com/2015-kia-sorento-the-perfect-getaway-with-pierce-brosnan/,https://www.youtube.com/watch?v=nayeYTmEdYw,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,77,2,97.47%,KIA SORENTO IS THE PERFECT GETAWAY CAR FOR A SUPER SPY AND YOU,,,,
102,2014,Budweiser,https://superbowl-ads.com/2014-budweiser-a-heros-welcome/,https://www.youtube.com/watch?v=XxfxB0O9Uuk,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NaN,NaN,NaN,BUD LIGHT THREW A COMING HOME PARADE FOR A SOLDIER'S HOMECOMING,,,,
103,2007,Bud Light,https://superbowl-ads.com/2007-bud-light-rock-scissors-paper/,https://www.youtube.com/watch?v=kH50-giCeDM,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,365,10,97.33%,MAN THROWS ROCK AT FRIEND TO GET THE LAST BUD LIGHT,,,,
104,2008,Hynudai,https://superbowl-ads.com/2008-hyundai-genesis-luxury/,https://www.youtube.com/watch?v=PsKJUnGEGSs,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NaN,NaN,NaN,"HYUNDAI HAS ALL THE PROS OF A BMW AND MERCEDES, BUT NONE OF THE CONS",,,,
105,2010,NFL,https://superbowl-ads.com/2010-nfl-best-fans-on-the-planet/,https://www.youtube.com/watch?v=6cMHr8goUgU,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,508,17,96.76%,NFL HAS THE BEST FANS IN THE WORLD. KEEP WATCHING,,,,
106,2005,Pepsi,https://superbowl-ads.com/2005-pepsi-song-in-a-bottle/,https://www.youtube.com/watch?v=vUwROngDC88,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,100.00%,EVERY PEPSI BOTTLE HAS A FREE ITUNES SONG IN EVERY BOTTLE,,,,
107,2018,Budweiser,https://superbowl-ads.com/41891-2/,https://www.youtube.com/watch?v=GNVw5f16GEM,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,176,10,94.62%,BUDWEISER SUPPORTS DISASTER RELIEF BY PRODUCING WATER VICE BEER IN TIMES OF NEED,,,,
108,2018,Bud Light,https://superbowl-ads.com/bud-light-the-bud-knight/,https://www.youtube.com/watch?v=UizTtcBsNi8,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,NaN,NaN,NaN,THE BUD KNIGHT IS A FRIEND AND BUD LIGHT WILL BE TOO,,,,
109,2004,Bud Light,https://superbowl-ads.com/2004-bud-light-sleigh-ride/,https://www.youtube.com/watch?v=yQ_nU0_R7PE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,120,7,94.49%,BUD LIGHT IS ROMANTIC AND GETS YOUR PARTNER EXCITED,,,,
110,2002,Budweiser,https://superbowl-ads.com/2002-budweiser-anniversary-card/,https://www.youtube.com/watch?v=LnU2T2P1oxA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,59,4,93.65%,BUDLIGHT IS MORE IMPORTANT THAN A LOVE CARD FOR YOUR PARTNER,,,,
111,2006,Budweiser,https://superbowl-ads.com/2006-budweiser-stadium-crowd-wave/,https://www.youtube.com/watch?v=4WeAvfP1ikU,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,84,18,82.35%,AN ENTIRE STADIUM IS HAPPY TO BE DRINKING BUD LIGHT,,,,
112,2014,Bud Light,https://superbowl-ads.com/2014-bud-light-up-for-whatever-2/,https://www.youtube.com/watch?v=PnOW5qj_R6A,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,NaN,NaN,NaN,THE PERFECT BEER FOR WHATEVER HAPPENS,,,,
113,2009,Coca-Cola,https://superbowl-ads.com/2009-coca-cola-avatar/,https://www.youtube.com/watch?v=Kwke0LNardc,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3500,297,92.18%,COKE BRINGS OUTSIDE OF THE HAZE OF A VIRTUAL WORLD AND LETS US SEE WHO SOMEONE IS,,,,
114,2014,Bud Light,https://superbowl-ads.com/2014-bud-light-up-for-whatever-1/,,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NaN,NaN,NaN,THE PERFECT BEER FOR WHATEVER HAPPENS,,,,
115,2003,Bud Light,https://superbowl-ads.com/2003-bud-light-third-arm/,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NaN,NaN,NaN,"BUD LIGHT IS SO TASTY, IT'LL MAKE YOU WANT THREE ARMS SO YOU NEVER PUT IT DOWN",,,,
116,2014,Toyota,https://superbowl-ads.com/2014-toyota-highlander-no-room-for-boring/,https://www.youtube.com/watch?v=b01P9PaaoLk,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,256,7,97.34%,HIGHLANDER TAKES YOU TO PLACESEVEN CRAZY PERSON PLACES,,,,
117,2009,Bud Light,https://superbowl-ads.com/2009-bud-light-skier/,https://www.youtube.com/watch?v=LEVQAU_LITI,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,34,3,91.89%,"BUDLIGHT IS SMOOTH, NOT LIKE OTHER BEERS",,,,
118,2014,Kia,https://superbowl-ads.com/2014-kia-the-truth/,https://www.youtube.com/watch?v=FTNMYoKHwvU,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,822,5,99.40%,THE NEW KIA IS THE NEW STANDARD FOR LUXURY,,,,
119,2014,Hynudai,https://superbowl-ads.com/2014-hyundai-elantra-nice/,https://www.youtube.com/watch?v=2jMWybAKjWw,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,33,2,94.29%,"HYUNDAI IS SO SAFE, YOU DON'T EVEN HAVE TO LOOK AT THE ROAD",,,,
120,2013,Bud Light,https://superbowl-ads.com/video-bud-light-2013-super-bowl-xlvii-commercial-lucky-chair/,https://www.youtube.com/watch?v=7HMTkEMdqBQ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NaN,NaN,NaN,BUDLIGHT IS SO LUCKY LIKE YOUR LUCKY CHAIR,,,,
121,2008,Bud Light,https://superbowl-ads.com/2008-bud-light-wheel-suck/,https://www.youtube.com/watch?v=WX8Du9pusdA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,764,55,93.28%,EVEN CAVEMEN DRANK BUDLIGHT,,,,
122,2003,Budweiser,https://superbowl-ads.com/2003-budweiser-great-listener/,https://www.youtube.com/watch?v=zx4SnN9HuRw,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,18,3,85.71%,BUDWEISER MAKES YOU LISTEN TO YOUR PARTNER BETTER,,,,
123,2013,Bud Light,https://superbowl-ads.com/video-bud-light-2013-super-bowl-xlvii-ad-journey/,https://www.youtube.com/watch?v=leptS7k6sLE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,100.00%,WE'LL DO ANYTHING FOR A BUD LIGHT,,,,
124,2011,Doritos,https://superbowl-ads.com/2011-doritos-pug-attack/,https://www.youtube.com/watch?v=1A6frF5zfDE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,871,11,98.75%,PUG KNOCKS DOWN DOOR TO GET TO MAN TAUNTING HIM WITH DORITOS,,,,
125,2005,Bud Light,https://superbowl-ads.com/2005-bud-light-skydiver/,https://www.youtube.com/watch?v=Y9wyIID8Khs,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NaN,NaN,NaN,BUD LIGHT WILL MAKE A PILOT JUMP OUT OF A PLANE FOR BUDLIGHT,,,,
126,2005,Budweiser,https://superbowl-ads.com/2005-budweiser-tryouts/,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NaN,NaN,NaN,"BUD LIGHT IS SO GOOD, ALL ANIMALS IN THE WORLD WANT TO BECOME BUD HORSES",,,,
127,2014,Doritos,https://superbowl-ads.com/2014-doritos-time-machine/,https://www.youtube.com/watch?v=Y-P0Hs0ADJY,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,21000,1600,92.92%,KID TRICKS MAN WITH TIME MACHINE FUELED BY DORITOS,,,,
128,2008,Bud Light,https://superbowl-ads.com/2008-bud-light-wine-cheese-party/,https://www.youtube.com/watch?v=aEWtTVaIH0M,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,417,59,87.61%,PARTY IS FUELED BY PEOPLE WHO SNUCK IN BUDLIGHT WITH CHEESE AND CRACKERS,,,,
129,2012,Pepsi,https://superbowl-ads.com/2012-pepsi-kings-court/,https://www.youtube.com/watch?v=3rZs8ZKTsp0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1500,139,91.52%,BUD LIGHT-ROBOBASH,,,,
130,2012,Doritos,https://superbowl-ads.com/2012-doritos-mans-best-friend/,https://www.youtube.com/watch?v=kMmd0WaQFGE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,254,21,92.36%,SING OFF FOR CAN OF PEPSI,,,,
131,2012,Toyota,https://superbowl-ads.com/2012-toyota-camry-its-reinvented/,https://www.youtube.com/watch?v=oYdJKey7VpU,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1200,16,98.68%,DOG BECOMES MANS BEST FRIEND BY GIVING HIM A BAG OF DORITOS ,,,,
132,2016,Doritos,https://superbowl-ads.com/doritos-2016-super-bowl-50-ad-ultrasound/,https://www.youtube.com/watch?v=Qh_gOK6xDNA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10000,314,96.96%,TOYOTA ENGINEERS SPENT TIME REINVENTING OTHER THINGS,,,,
133,2002,Bud Light,https://superbowl-ads.com/2002-bud-light-falcon/,https://www.youtube.com/watch?v=ZBD4dYTpYAU,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,21,2,91.30%,HUSBAND EATING DORITOS DURING ULTRA SOUND,,,,
134,2002,Bud Light,https://superbowl-ads.com/2002-bud-light-robobash/,https://www.youtube.com/watch?v=oJvsWvaTr4w,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,215,6,97.29%,BABY INFORMS VIEWERS THAT THEY COULD LOSE  THOUSANDS OF DOLLARS,,,,
135,2013,E-Trade,https://superbowl-ads.com/video-etrade-baby-2013-super-bowl-xlvii-commercial-save-it/,https://www.youtube.com/watch?v=F0nhq4GO90s,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,100.00%,CHRISTMAS BEAR DRINKING COCA COLA,,,,
136,2008,Bud Light,https://superbowl-ads.com/2008-bud-light-breathe-fire/,https://www.youtube.com/watch?v=AhqPl1IKVo4,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,27,4,87.10%,YOUNG JIMMY HENDRCKS DRIKINING PEPSI FOR THE FIRST TIME,,,,
137,2012,Coca-Cola,https://superbowl-ads.com/2012-coca-cola-arghh-ny-bear/,https://www.youtube.com/watch?v=jhvAXT9R_3U,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,123,5,96.09%,DOG TRICKS A MAN TO WARE SHOCK COLLAR AND TAKES HIS DORITOS,,,,
138,2004,Pepsi,https://superbowl-ads.com/2004-pepsi-jimi-hendrix/,https://www.youtube.com/watch?v=NOOmu1Rz17Y,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,337,12,96.56%,MAN HAVING A DREAMING HE IS DRIVING A KIA OPTIMA HIS DREAM CAR,,M HE IS DRIVING HIS DREAM KAR AN KIA OPTIMA,,
139,2010,Doritos,https://superbowl-ads.com/hd-exclusive-dog-shock-collar-doritos-commercial-super-bowl-44-2010-super-bowl-xliv/,https://www.youtube.com/watch?v=UBaZDWIs3fs,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,284,19,93.73%,TIMELINE OF THE BEGINNING OF FOOTBALL,,,,
140,2012,Kia,https://superbowl-ads.com/2012-kia-optima-drive-the-dream-extended-version/,https://www.youtube.com/watch?v=9RI6OGXq11Y,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,616,14,97.78%,,,,,
141,2012,NFL,https://superbowl-ads.com/2012-nfl-timeline/,https://www.youtube.com/watch?v=CPr4-P19NtE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,2100,44,97.95%,HYUNDI CAR BEING MORE RELIABLE THAN A TENTY YEAR FOOTBALL CARRER,,,,
142,2005,Bud Light,https://superbowl-ads.com/2005-bud-light-sharon/,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NaN,NaN,NaN,PLAYING PAINTBALL AND RECEIVING BUD LIGHT AS WINNER,,,,
143,2010,Hynudai,https://superbowl-ads.com/hd-exclusive-2010-super-bowl-xliv-commercial-with-brett-favre-hyundai-commercial/,https://www.youtube.com/watch?v=KqAWv2wCW8I,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,308,12,96.25%,DRINKINKING BUD LIGHT GIVES YOU THE ABILITY TO FLY,,,,
144,2004,Bud Light,https://superbowl-ads.com/2004-bud-light-paintball/,https://www.youtube.com/watch?v=qbS0gF3YdBg,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,10,0,100.00%,YOUNG PEOPLE REALISING THER STREANGHTS AND ACCOMPLISHING THERE DREAMS,,,,
145,2008,Bud Light,https://superbowl-ads.com/2008-bud-light-x-ray-vision/,https://www.youtube.com/watch?v=cOEMI8HRhlA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,170,11,93.92%,MAN INSTALLS A MAGIC FRIDGE TO HIDE HIS BUD LIGHT,,,,
146,2016,Toyota,https://superbowl-ads.com/pokemon-2016-super-bowl-50-ad-20-years-2/,https://www.youtube.com/watch?v=KLkQ9c9-QFI,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NaN,NaN,NaN,SHOWING HOW COCA COLA IS MADE IN A HAPPY FACTORY,,,,
147,2006,Bud Light,https://superbowl-ads.com/2006-bud-light-magic-fridge/,https://www.youtube.com/watch?v=67dRRrRz2t8,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,436,17,96.25%,DOG BECOMES A BUDWISER DOG AFTER GETTING SPASHED WITH MUD,,,,
148,2007,Coca-Cola,https://superbowl-ads.com/2007-coca-cola-happiness-factory/,https://www.youtube.com/watch?v=NwZpO6saPxI,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,30,4,88.24%,A FATHER AND HIS FRIENDS PLAYS DRESS UP WITH HIS DAUTHER FOR A BAG OF DORITOS,,,,
149,2007,Budweiser,https://superbowl-ads.com/2007-budweiser-dalmatian/,https://www.youtube.com/watch?v=esOPYOeotTU,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,58,3,95.08%,MAN AND HIS FRIENDS RECEIVE BUD LIGHT FOR A PARTY AND STARTS TO SING IN AUTO TUNE WITH T PAIN,,,,
150,2013,Doritos,https://superbowl-ads.com/video-doritos-2013-super-bowl-xlvii-ad-fashionista-daddy/,https://www.youtube.com/watch?v=w_2k5LMeduc,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2700,369,87.98%,DORITOS SHOWES THE POWER OF THE CRUNCH,,,,
151,2010,Bud Light,https://superbowl-ads.com/hd-exclusive-bud-light-auto-tune-t-pain-2010-superbowl-44-xliv-commercial-ad/,https://www.youtube.com/watch?v=bDhjcP02GQg,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,123,7,94.62%,MEANEST MAN IN THE NFL TURNS NICE AFTER RECEIVING A COKE ZERO FROM A FAN,,,,
152,2009,Doritos,https://superbowl-ads.com/2009-doritos-power-of-the-crunch/,https://www.youtube.com/watch?v=7DZao4kN73M,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1900,223,89.50%,PEPSI FOR EVER YOUNG ATHEM COMMERICIAL,,,,
153,2009,Coca-Cola,https://superbowl-ads.com/2009-coke-zero-mean-troy/,https://www.youtube.com/watch?v=XKFUcEkIbEg,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,102,8,92.73%,E*TRADE GHOST TOWN ,,,,
154,2009,Pepsi,https://superbowl-ads.com/2009-pepsi-anthem/,https://www.youtube.com/watch?v=WIzKwJmYLNs,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,11,0,100.00%,A KING INSPIRES HIS LOYAL SUBJECTS IN A TIME OF GREAT DISTRESS,,,,
155,2001,E-Trade,https://superbowl-ads.com/2001-etrade-dot-com-ghost-town/,https://www.youtube.com/watch?v=ONZFkqzuMjI,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,240,9,96.39%,DORITO DRIVER GETS HIGH JACKED BY DORITOS PIRATES,,,,
156,2018,Bud Light,https://superbowl-ads.com/bud-light-ye-olde-pep-talk/,https://www.youtube.com/watch?v=xza7T89Lda4,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,NaN,NaN,NaN,KIA SHOWING THE DIFFERENT QUALITIES OF THE SORENTO,,,,
157,2015,Doritos,https://superbowl-ads.com/2015-doritos-cheesy-pirates/,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NaN,NaN,NaN,MAN SETTING A MOUSE TRAP WITH A BAG OF DORIT,,,,OF DORITOS
158,2010,Kia,https://superbowl-ads.com/hd-exclusive-kias-big-game-commercial-2010-super-bowl-44-xliv-ad/,https://www.youtube.com/watch?v=7q2yVq6fDEg,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,104,6,94.55%,COCA COLA POLAR BEARS BELIVING IN SUPERSTION,,,,
159,2008,Doritos,https://superbowl-ads.com/2008-doritos-mouse-trap/,https://www.youtube.com/watch?v=h8qgk5tXuUA,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1200,38,96.93%,HYUNDI DEPROGRAMMING,,,,
160,2012,Coca-Cola,https://superbowl-ads.com/2012-coca-cola-superstition/,https://www.youtube.com/watch?v=x1nttVdja9s,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,78,19,80.41%,POLITICAL PARTIES DEBATE,,IAGREE ANTIL THEY HAVE A COKE COLA,,
161,2011,Hynudai,https://superbowl-ads.com/2011-hyundai-super-bowl-commercial-deprogramming-video/,https://www.youtube.com/watch?v=32d5c_IW2Xc,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,100.00%,MAN TRYING TO HOLD AN ELIVATOR DOOR OPEN WITH SIX PACK OF BUD LIGHT,,,,
162,2008,Coca-Cola,https://superbowl-ads.com/2008-coca-cola-political-parties/,https://www.youtube.com/watch?v=2_LWZe2BGaE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,39,3,92.86%,KIA GIVE IT EVERTHING MOTIVATION ,,,,
163,2000,Bud Light,https://superbowl-ads.com/2000-bud-light-she-has-a-cat/,,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NaN,NaN,NaN,MAN SLIDES OF BED AND OUT OF WINDOW TRYING TO GET A BUD LIGHT,,,,
164,2019,Kia,https://superbowl-ads.com/2020-kia-telluride-give-it-everything/,https://www.youtube.com/watch?v=sS8dkRhDirY,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NaN,NaN,NaN,CHILD ASKING FATHER WHERE DO BABIES COME FROM,,,,
165,2002,Bud Light,https://superbowl-ads.com/2002-bud-light-satin-sheets/,https://www.youtube.com/watch?v=-LwSb4cCAnw,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,366,18,95.31%,LAST SIP OF PEPSI WITH JUSTIN TIBERLAKE,,,,
166,2013,Kia,https://superbowl-ads.com/video-2013-kia-super-bowl-xlvii-commercial-space-babies/,https://www.youtube.com/watch?v=k5vbGQb7jR0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,49,4,92.45%,BUD LIGHT SPECIAL DELIVERY OF CORN SURUP TO COPMETITOR,,,,
167,2008,Pepsi,https://superbowl-ads.com/2008-pepsi-every-sip-with-justin-timberlake/,https://www.youtube.com/watch?v=AKKM8sP24BE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,634,16,97.54%,HYUNDI EVOLUTION IN THER CARS,,,,
168,2019,Bud Light,https://superbowl-ads.com/2019-bud-light-special-delivery/,https://www.youtube.com/watch?v=eIlX0Gg0GRI,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NaN,NaN,NaN,BUD LIGHT BEING THE LANUAGE OF LOVE,,,,
169,2011,Hynudai,https://superbowl-ads.com/2011-hyundai-super-bowl-commercial-anachronistic-city-video/,https://www.youtube.com/watch?v=-BVMOKtawUk,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NaN,NaN,NaN,MAN BLOWS FIRE AFTER DRINKING BUD LIGHT AND SETS A HOUSE ON FIRE,,,,
170,2008,Bud Light,https://superbowl-ads.com/2008-bud-light-language-of-love/,https://www.youtube.com/watch?v=Ao0x4zsb724,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,598,181,76.77%,BABYS CRYING AFTER THEY REALIZE THEY SHOILD HAVE CHOSEN E*TRADE,,,,
171,2008,Bud Light,https://superbowl-ads.com/2008-bud-light-jackie-moon-will-ferrell/,https://www.youtube.com/watch?v=ecqiZn2DDFQ,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,1300,123,91.36%,BUDWISER INTRIDUCING A NEW LAGER THE BLACK CCROWN,,,,
172,2010,E-Trade,https://superbowl-ads.com/hd-exclusive-e-trade-baby-girlfriend-2010-superbowl-44-xliv-commercial-ad/,https://www.youtube.com/watch?v=tbLTl7egwlU,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1200,59,95.31%,DRINKING  PEPSI ON A ROLLER COASTER AND NOT SPILLING,,,,
173,2013,Budweiser,https://superbowl-ads.com/video-budweiser-black-crown-2013-super-bowl-xlvii-ad-celebration/,https://www.youtube.com/watch?v=2WNvlXoDs7w,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,100.00%,WOMAN DANCING TO A NEW FLAVOR OF COKE THE TWISTED MANGO,,,,
174,2001,Pepsi,https://superbowl-ads.com/2001-pepsi-roller-coaster/,https://www.youtube.com/watch?v=MwfL-DkL1Vg,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,111,5,95.69%,WOMAN GETS HIT WITH CAN OF PEPSI IN A LOVE HURTS EPISODE,,,,
175,2018,Coca-Cola,https://superbowl-ads.com/diet-coke-twisted-mango-groove/,https://www.youtube.com/watch?v=nkGd47iB-wU,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,5,2,71.43%,GETTING OLD E*TRADE,,,,
176,2003,Bud Light,https://superbowl-ads.com/2003-bud-light-upside-down-clown/,https://www.youtube.com/watch?v=DTvxyDwP2CA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,244,11,95.69%,BUDWISER NEVER BACKING DOWN TO THE COMPETITION,,,,
177,2011,Pepsi,https://superbowl-ads.com/2011-pepsi-max-love-hurts/,https://www.youtube.com/watch?v=r4eyQBvcBUA,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,679,196,77.60%,BALLOONS FIGHTING OVER COCA COLA,,,,
178,2018,E-Trade,https://superbowl-ads.com/etrade-commercial-this-is-getting-old/,https://www.youtube.com/watch?v=Qx5-AZlfjp4,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,188,12,94.00%,ROBOTS FALL IN LOVE WITH THE 2013 KIA FORTE,,,,
